=== FINDINGS ===
[catch-all] apps/studio/src/store.ts:163 -- bare catch-all with no rethrow/reject/error-return/logging in body
[fire-and-forget] packages/render-core/src/fs/conformance.ts:93 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/fsa.ts:12 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/fsa.ts:15 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/fsa.ts:29 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/fsa.ts:32 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/memory.ts:22 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/zip.ts:34 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:80 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:81 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:87 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:88 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:90 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:91 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:93 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:97 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/ghpages.ts:99 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:103 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:104 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:106 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:121 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:128 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:129 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:133 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:135 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:136 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:137 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:138 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:144 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:152 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:154 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:156 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:157 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:158 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:159 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:171 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:172 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:173 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:178 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:182 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:186 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:195 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:200 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:201 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:90 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:91 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:92 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/publish/site.ts:93 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/session/session.ts:136 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/session/session.ts:44 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:18 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:19 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:20 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:21 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:25 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:26 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:35 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:38 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:39 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/spine/persist.ts:41 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-mount/src/mount.ts:65 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] scripts/import-bidar.mjs:28 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] scripts/import-bidar.mjs:29 -- await with no try/catch or .catch() in nearby context
[untested-churn] packages/render-mount/src/surface.ts:0 -- 1 commits (6mo), no test file
[untested-churn] packages/render-mount/vitest.config.ts:0 -- 1 commits (6mo), no test file
[untested-churn] packages/render-svelte/src/Canvas.svelte:0 -- 1 commits (6mo), no test file
[untested-churn] scripts/bundle-size.mjs:0 -- 1 commits (6mo), no test file
[untested-churn] scripts/import-bidar.mjs:0 -- 1 commits (6mo), no test file
[untested-churn] scripts/import-voynich.mjs:0 -- 1 commits (6mo), no test file

=== RISK SCORES ===
